,Название набора,Рынок,Стадия стартапа,Сервисы,Технологии,type,Сайт
0,ED2,EdTech|HRTech,Ранний рост|Посевная,Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Доступ к потенциальным заказчикам,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0.0,http://ed2.tech/
1,Акселератор MTS StartUp Hub ,Transport & Logistics|PropTech|InsuranceTech|RetailTech|CleanTech|FinTech|Healthcare,Ранний рост|Посевная,Инвестиции|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Поддержка по юридическим / бухгалтерским вопросам |Доступ к потенциальным заказчикам|Помещение для аренды офиса|Доступ к оборудованию/ лаборатории / облачным сервисам,3D моделирование|Big Data|Интернет вещей|Искусственный интеллект и машинное обучение,2.0,https://startup.mts.ru/
2,"Отраслевой акселератор госкорпорации ""Росатом""",Transport & Logistics|IndustrialTech|CleanTech,Ранний рост|Идея|Посевная,"Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Доступ к потенциальным заказчикам|Финансовая поддержка (субсидии, гранты и т.п.)|Доступ к оборудованию/ лаборатории / облачным сервисам",Аддитивные технологии|Новые и портативные источники энергии|Новые материалы,2.0,https://rosatom.sk.ru/
3,Фабрика туристических продуктов и сервисов (Moscow Travel HUB),Travel,Идея|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Маркетинг и продвижение |Доступ к потенциальным заказчикам|Доступ к оборудованию/ лаборатории / облачным сервисам,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,1.0,https://travelhub.moscow/factory/
4,Акселератор ЧТПЗ,IndustrialTech|CleanTech,Ранний рост|Посевная,Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Доступ к потенциальным заказчикам,Big Data|Интернет вещей|Искусственный интеллект и машинное обучение|Новые материалы,2.0,https://chelpipe.generation-startup.ru/
5,Акселератор УБРиР,LegalTech|HRTech|Business Software|Advertising & Marketing|RetailTech|FinTech,Ранний рост|Посевная,"Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Доступ к потенциальным заказчикам|Финансовая поддержка (субсидии, гранты и т.п.)|Доступ к оборудованию/ лаборатории / облачным сервисам",Big Data|Биометрия|Искусственный интеллект и машинное обучение,2.0,https://ubrr.iidf.ru/
6,TechLab,Advertising & Marketing|RetailTech,Ранний рост|Посевная,Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Помощь в выходе на международный рынок|Доступ к потенциальным заказчикам,Big Data,2.0,https://techlab.generation-startup.ru/
7,Severstal SteelTech Accelerator,Transport & Logistics|IndustrialTech|Advertising & Marketing|CleanTech,Ранний рост|Посевная,Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Доступ к потенциальным заказчикам|Доступ к оборудованию/ лаборатории / облачным сервисам,Big Data|Беспилотники|Зеленые технологии|Искусственный интеллект и машинное обучение|Новые и портативные источники энергии|Новые материалы,2.0,https://severstal.sk.ru/
8,BuildUP,PropTech|Business Software|RetailTech|SafetyTech|CleanTech,Ранний рост|Посевная,Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Доступ к потенциальным заказчикам,3D моделирование|AR/VR|Интернет вещей|Искусственный интеллект и машинное обучение|Новые материалы|Робототехника,1.0, https://buildup.sk.ru/
9,Акселератор ФРИИ,AgroTech|Cybersecurity|EdTech|Telecom|Business Software|RetailTech|E-commerce|FinTech|Healthcare,Ранний рост|Расширение,Инвестиции|Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Доступ к потенциальным заказчикам,AR/VR|Big Data|Биометрия|Блокчейн|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Робототехника,0.0,https://www.iidf.ru/startups/accelerator/ 
