,Название объекта,Рынок,Технологии,Сервисы,type,Сайт
0,Инжиниринговый центр РЭУ им. Г.В. Плеханова,IndustrialTech|CleanTech,Биотехнологии|Новые материалы,Обучение (образовательные программы)|Проведение исследований / испытаний |Проектирование|Прототипирование,1,https://www.rea.ru/ru/org/managements/Pages/inzhiniringoviy-centr.aspx
1,"Инжиниринговый центр ""Инфо СТАР""",IndustrialTech,,Обучение (образовательные программы)|Консультационная поддержка по развитию бизнеса|Проектирование|Прототипирование,1,http://ec.rgsu.net/
2,Инжиниринговый центр МГРИ-РГГРУ,IndustrialTech,Зеленые технологии,Проведение исследований / испытаний |Проектирование|Прототипирование,1,https://mgri.ru/science/scientific-and-innovative-activity/engineering-center/index.php?sphrase_id=13434
3,Инжиниринговый центр МЭИ,IndustrialTech,Новые и портативные источники энергии,Проведение исследований / испытаний |Проектирование,1,http://ecmei.ru
4,Московский институт электроники и математики им. А.Н. Тихонова,IndustrialTech,Big Data,Консультационная поддержка по развитию бизнеса|Проведение исследований / испытаний |Проектирование,1,https://miem.hse.ru/engineering_services
5,"Инжиниринговый центр ""Системотехника строительства""",IndustrialTech,3D моделирование,Консультационная поддержка по развитию бизнеса|Проектирование,1,http://mgsu.ru/science/N-Issled_i_innovac_deyat/engineering-center-engineering-construction/about-the-center/
6,Инжиниринговый центр МИРЭА,IndustrialTech,,Консультационная поддержка по развитию бизнеса|Проведение исследований / испытаний |Проектирование,1,http://inzhiniringovy-tsentr.ru/
7,Инжиниринговый центр ИПСС МИИТ,IndustrialTech,,Обучение (образовательные программы)|Проведение исследований / испытаний ,1,http://miit-ipss.ru/icipss/
8,Инжиниринговый центр МФТИ,IndustrialTech,,Проведение исследований / испытаний |Проектирование,1,https://www.cet-mipt.ru/
9,"Инжиниринговый центр ""Передовые пищевые технологии и безопасность продуктов питания""",IndustrialTech|FoodTech,,Обучение (образовательные программы)|Проведение исследований / испытаний ,1,http://www.mgupp.ru/science/engineering/
10,"Государственный инжиниринговый центр МГТУ ""СТАНКИН""",IndustrialTech,,Обучение (образовательные программы)|Мелкосерийное производство,1,https://stankin.ru/subdivisions/id_94/about
11,Менделеевский инжиниринговый центр,IndustrialTech,Новые материалы,Проектирование,0,https://engchem.ru
12,Инжиниринговый центр МИЭТ,IndustrialTech,Нанотехнологии,Обучение (образовательные программы)|Проведение исследований / испытаний |Проектирование,0,https://www.miet.ru/structure/s/3207
13,Амигокар,IndustrialTech,Компьютерное зрение,Проектирование,0,http://amigocar.ru/
14,TEN Engineering & Design,IndustrialTech,3D моделирование,Проектирование|Прототипирование,0,https://tened.ru/
15,Губкин Инжиниринг,IndustrialTech,Big Data|Новые материалы,Проведение исследований / испытаний ,0,https://gueng.ru/
16,КБ Архипов,IndustrialTech,3D моделирование|Big Data|Новые материалы,Консультационная поддержка по развитию бизнеса|Проведение исследований / испытаний |Проектирование|Прототипирование|Мелкосерийное производство,0,http://kb-arhipov.com
17,Центр развития инжиниринга,IndustrialTech,3D моделирование,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Проведение исследований / испытаний |Проектирование|Прототипирование,1,http://edc.mospolytech.ru/
18,"Инжиниринговый центр ""Литейные технологии и материалы""",IndustrialTech,3D моделирование|Аддитивные технологии|Новые материалы,Обучение (образовательные программы)|Проведение исследований / испытаний |Проектирование|Прототипирование|Мелкосерийное производство,1,https://misis.ru/university/struktura-universiteta/centre/28/
19,Анизопринт,IndustrialTech,3D моделирование|Аддитивные технологии,Проектирование|Прототипирование,0,http://anisoprint.com/
20,Вебер Лабс,IndustrialTech,Новые материалы|Робототехника,Прототипирование,0,https://rnd.sk.ru/public/company/?accountid=e8089388-bef8-ea11-b804-00155d200838
21,Тотал Вижен,IndustrialTech|Healthcare,AR/VR,Проведение исследований / испытаний |Проектирование|Прототипирование,0,
22,КАДФЕМ Си-Ай-Эс,IndustrialTech,3D моделирование,Обучение (образовательные программы)|Консультационная поддержка по развитию бизнеса|Проведение исследований / испытаний |Проектирование,0,https://www.cadfem-cis.ru/
23,"Центр инжиниринга промышленных технологий НИТУ ""МИСиС""",IndustrialTech,Новые материалы,Проведение исследований / испытаний |Проектирование|Прототипирование,0,https://misis.ru/university/struktura-universiteta/centers/cipt/
24,"Центр национальной технологической инициативы ""Сенсорика""",IndustrialTech,Big Data|Интернет вещей|Искусственный интеллект и машинное обучение,Обучение (образовательные программы)|Проведение исследований / испытаний ,1,https://miet.ru/structure/s/3076
25,Экс Севен Ресеч,Healthcare,Биотехнологии,Обучение (образовательные программы)|Проведение исследований / испытаний ,0,http://ru.x7cpr.com
26,SIU System,IndustrialTech,Аддитивные технологии,Проектирование|Прототипирование|Мелкосерийное производство,0,https://siusystem.ru/
27,Объединенный инжиниринговый центр им. Л. Эйлера,PropTech,3D моделирование,Консультационная поддержка по развитию бизнеса|Проведение исследований / испытаний |Проектирование,0,http://инжиниринговый-центр.рф/
28,Парус Электро,CleanTech,Новые и портативные источники энергии,Проектирование|Прототипирование,0,https://parus-electro.ru/
29,"Научно-производственное предприятие ""Энергоперспектива""",CleanTech,,Проектирование,0,http://energoperspektiva.ru/
30,Центр промышленной кооперации,IndustrialTech,,Проектирование|Прототипирование|Мелкосерийное производство,0,https://promcoop.ru/
31,"Инжиниринговый центр ""Фабрика решений SKF""",IndustrialTech,,Консультационная поддержка по развитию бизнеса,0,https://www.skf.com/ru/services/solution-factory/index.html
32,Инвента,IndustrialTech,Новые материалы,Проектирование|Прототипирование|Мелкосерийное производство,0,http://inventa-lab.ru/
33,КАДФЕМ Диджитал,IndustrialTech,3D моделирование|Big Data|Искусственный интеллект и машинное обучение,Защита интеллектуальной собственности |Консультационная поддержка по развитию бизнеса|Проектирование,0,https://www.digitaltwin.ru/
