,Название объекта,Стадия стартапа,Сервисы,Сайт,type
0,Центр содействия экологическому предпринимательству,Ранний рост|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Консультационная поддержка по развитию бизнеса,https://ecobiz-center.ru/,0
1,Московский экспортный центр,Расширение,"Обучение (образовательные программы)|Консультационная поддержка по развитию бизнеса|Маркетинг и продвижение |Помощь в выходе на международный рынок|Доступ к потенциальным заказчикам|Финансовая поддержка (субсидии, гранты и т.п.)",http://moscow-export.com/,0
2,ВЭБ.РФ,Расширение,"Помощь в выходе на международный рынок|Финансовая поддержка (субсидии, гранты и т.п.)",https://veb.ru/,0
3,Российский экспортный центр,Расширение,"Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Консультационная поддержка по развитию бизнеса|Помощь в выходе на международный рынок|Финансовая поддержка (субсидии, гранты и т.п.)",https://www.exportcenter.ru,0
4,Корпорация по развитию малого и среднего предпринимательства,Ранний рост|Расширение,"Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Консультационная поддержка по развитию бизнеса|Маркетинг и продвижение |Финансовая поддержка (субсидии, гранты и т.п.)",http://corpmsp.ru/about,0
5,Фонд содействия кредитованию малого бизнеса Москвы,Расширение,"Финансовая поддержка (субсидии, гранты и т.п.)",https://www.mosgarantfund.ru/,0
6,Малый бизнес Москвы,Любая,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Консультационная поддержка по развитию бизнеса|Помещение для аренды офиса,https://mbm.mos.ru/,0
7,Фонд развития промышленности,Расширение,"Консультационная поддержка по развитию бизнеса|Финансовая поддержка (субсидии, гранты и т.п.)",https://frprf.ru/,0
8,Агентство инноваций Москвы,Ранний рост|Расширение|Посевная,"Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Доступ к потенциальным заказчикам|Финансовая поддержка (субсидии, гранты и т.п.)",http://innoagency.ru/ru/,0
9,Фонд развития венчурного инвестирования города Москвы,Любая,"Инвестиции|Финансовая поддержка (субсидии, гранты и т.п.)",https://mosinnov.ru/,0
10,Московский фонд поддержки промышленности и предпринимательства,Расширение,"Помощь в выходе на международный рынок|Финансовая поддержка (субсидии, гранты и т.п.)",https://mfppp.ru/,0
11,Российский фонд прямых инвестиций,Расширение,"Инвестиции|Обучение (образовательные программы)|Финансовая поддержка (субсидии, гранты и т.п.)",https://rdif.ru/,0
12,Фонд содействия инновациям,Любая,"Финансовая поддержка (субсидии, гранты и т.п.)",http://fasie.ru/,0
13,Агентство стратегических инициатив по продвижению новых проектов,Любая,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Консультационная поддержка по развитию бизнеса|Маркетинг и продвижение |Помощь в выходе на международный рынок,http://www.asi.ru,0
14,Фонд Сколково,Любая,"Инвестиции|Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Защита интеллектуальной собственности |Консультационная поддержка по развитию бизнеса|Поддержка по юридическим / бухгалтерским вопросам |Маркетинг и продвижение |Помощь в выходе на международный рынок|Доступ к потенциальным заказчикам|Финансовая поддержка (субсидии, гранты и т.п.)|Помещение для аренды офиса|Доступ к оборудованию/ лаборатории / облачным сервисам|Проведение исследований / испытаний ",https://sk.ru/,0
15,Российская венчурная компания,Любая,"Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Консультационная поддержка по развитию бизнеса|Помощь в выходе на международный рынок|Финансовая поддержка (субсидии, гранты и т.п.)",https://www.rvc.ru/,0
16,РОСНАНО,Ранний рост|Расширение,"Инвестиции|Тестирование продукта |Защита интеллектуальной собственности |Консультационная поддержка по развитию бизнеса|Доступ к потенциальным заказчикам|Финансовая поддержка (субсидии, гранты и т.п.)",https://www.rusnano.com/,0
17,Фонд инфраструктурных и образовательных программ,Ранний рост|Расширение|Посевная,Обучение (образовательные программы)|Тестирование продукта |Защита интеллектуальной собственности |Консультационная поддержка по развитию бизнеса|Маркетинг и продвижение |Помощь в выходе на международный рынок|Доступ к потенциальным заказчикам,https://fiop.site/,0
18,Российский фонд развития информационных технологий,Ранний рост|Расширение,"Тематические мероприятия (нетворкинг)|Консультационная поддержка по развитию бизнеса|Финансовая поддержка (субсидии, гранты и т.п.)",https://xn--h1apajh.xn--p1ai/,0
19,Агентство по технологическому развитию,Расширение,Консультационная поддержка по развитию бизнеса,https://atr.gov.ru/,0
20,"Ассоциация разработчиков программных продуктов ""Отечественный софт"" ",Ранний рост|Расширение,Тематические мероприятия (нетворкинг)|Маркетинг и продвижение |Помощь в выходе на международный рынок|Доступ к потенциальным заказчикам,https://arppsoft.ru,0
21,Ассоциация больших данных,Ранний рост|Посевная,Тестирование продукта |Доступ к потенциальным заказчикам|Доступ к оборудованию/ лаборатории / облачным сервисам,https://rubda.ru,0
22,Ассоциация предприятий компьютерных и информационных технологий,Ранний рост|Посевная,Консультационная поддержка по развитию бизнеса,https://apkit.ru/,0
23,Ассоциация разработчиков и производителей электроники,Расширение,Тематические мероприятия (нетворкинг)|Консультационная поддержка по развитию бизнеса,http://arpe.ru/,0
24,Московский инновационный кластер,Любая,"Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Помощь в выходе на международный рынок|Доступ к потенциальным заказчикам|Финансовая поддержка (субсидии, гранты и т.п.)|Помещение для аренды офиса",https://i.moscow/,0
